Parameters: 413588 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
Epoch No.: 0	Train Loss = 2.3818	 mIOU(val) = 0.0952	 best_mIOU_val(val) = 0.0952	 best_mIOU_per_class(val) = [[np.float64(0.014715495151285894), np.float64(0.019109557795045223), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.6185790196145735), np.float64(0.0), np.float64(0.39454647191605574), np.float64(0.0), np.float64(0.0), np.float64(0.0)]]	 best_acc(val) = 0.1752	 lr= 0.001000 
Epoch No.: 55	Train Loss = 1.3830	 mIOU(val) = 0.3625	 best_mIOU_val(val) = 0.3956	 best_mIOU_per_class(val) = [[np.float64(0.85272404370969), np.float64(0.6585261546597766), np.float64(0.09930093720506573), np.float64(0.0), np.float64(0.0704073688165504), np.float64(0.8709511332297478), np.float64(0.41617813541810345), np.float64(0.7491548798616078), np.float64(0.5270158412661604), np.float64(0.0972186404152327), np.float64(0.009614783175916576)]]	 best_acc(val) = 0.4865	 lr= 0.000659 

Epoch No.: 56	Train Loss = 1.3790	 mIOU(val) = 0.3595	 best_mIOU_val(val) = 0.3956	 best_mIOU_per_class(val) = [[np.float64(0.85272404370969), np.float64(0.6585261546597766), np.float64(0.09930093720506573), np.float64(0.0), np.float64(0.0704073688165504), np.float64(0.8709511332297478), np.float64(0.41617813541810345), np.float64(0.7491548798616078), np.float64(0.5270158412661604), np.float64(0.0972186404152327), np.float64(0.009614783175916576)]]	 best_acc(val) = 0.4865	 lr= 0.000659 

Epoch No.: 57	Train Loss = 1.3814	 mIOU(val) = 0.3827	 best_mIOU_val(val) = 0.3956	 best_mIOU_per_class(val) = [[np.float64(0.85272404370969), np.float64(0.6585261546597766), np.float64(0.09930093720506573), np.float64(0.0), np.float64(0.0704073688165504), np.float64(0.8709511332297478), np.float64(0.41617813541810345), np.float64(0.7491548798616078), np.float64(0.5270158412661604), np.float64(0.0972186404152327), np.float64(0.009614783175916576)]]	 best_acc(val) = 0.4865	 lr= 0.000659 

Epoch No.: 58	Train Loss = 1.3800	 mIOU(val) = 0.3969	 best_mIOU_val(val) = 0.3969	 best_mIOU_per_class(val) = [[np.float64(0.8618850558048342), np.float64(0.645182595212835), np.float64(0.05939005253462509), np.float64(0.0), np.float64(0.12405342228931798), np.float64(0.8677415546639746), np.float64(0.43950051242777005), np.float64(0.7401374290146803), np.float64(0.5207711137658126), np.float64(0.09482571550276074), np.float64(0.012210601591132565)]]	 best_acc(val) = 0.4865	 lr= 0.000659 

Epoch No.: 59	Train Loss = 1.3794	 mIOU(val) = 0.3965	 best_mIOU_val(val) = 0.3969	 best_mIOU_per_class(val) = [[np.float64(0.8618850558048342), np.float64(0.645182595212835), np.float64(0.05939005253462509), np.float64(0.0), np.float64(0.12405342228931798), np.float64(0.8677415546639746), np.float64(0.43950051242777005), np.float64(0.7401374290146803), np.float64(0.5207711137658126), np.float64(0.09482571550276074), np.float64(0.012210601591132565)]]	 best_acc(val) = 0.4865	 lr= 0.000659 

Epoch No.: 60	Train Loss = 1.3786	 mIOU(val) = 0.3961	 best_mIOU_val(val) = 0.3969	 best_mIOU_per_class(val) = [[np.float64(0.8618850558048342), np.float64(0.645182595212835), np.float64(0.05939005253462509), np.float64(0.0), np.float64(0.12405342228931798), np.float64(0.8677415546639746), np.float64(0.43950051242777005), np.float64(0.7401374290146803), np.float64(0.5207711137658126), np.float64(0.09482571550276074), np.float64(0.012210601591132565)]]	 best_acc(val) = 0.4865	 lr= 0.000606 

Epoch No.: 61	Train Loss = 1.3792	 mIOU(val) = 0.3936	 best_mIOU_val(val) = 0.3969	 best_mIOU_per_class(val) = [[np.float64(0.8618850558048342), np.float64(0.645182595212835), np.float64(0.05939005253462509), np.float64(0.0), np.float64(0.12405342228931798), np.float64(0.8677415546639746), np.float64(0.43950051242777005), np.float64(0.7401374290146803), np.float64(0.5207711137658126), np.float64(0.09482571550276074), np.float64(0.012210601591132565)]]	 best_acc(val) = 0.4865	 lr= 0.000606 

Epoch No.: 62	Train Loss = 1.3865	 mIOU(val) = 0.3867	 best_mIOU_val(val) = 0.3969	 best_mIOU_per_class(val) = [[np.float64(0.8618850558048342), np.float64(0.645182595212835), np.float64(0.05939005253462509), np.float64(0.0), np.float64(0.12405342228931798), np.float64(0.8677415546639746), np.float64(0.43950051242777005), np.float64(0.7401374290146803), np.float64(0.5207711137658126), np.float64(0.09482571550276074), np.float64(0.012210601591132565)]]	 best_acc(val) = 0.4865	 lr= 0.000606 

Epoch No.: 63	Train Loss = 1.3770	 mIOU(val) = 0.3865	 best_mIOU_val(val) = 0.3969	 best_mIOU_per_class(val) = [[np.float64(0.8618850558048342), np.float64(0.645182595212835), np.float64(0.05939005253462509), np.float64(0.0), np.float64(0.12405342228931798), np.float64(0.8677415546639746), np.float64(0.43950051242777005), np.float64(0.7401374290146803), np.float64(0.5207711137658126), np.float64(0.09482571550276074), np.float64(0.012210601591132565)]]	 best_acc(val) = 0.4865	 lr= 0.000606 

Epoch No.: 64	Train Loss = 1.3818	 mIOU(val) = 0.3812	 best_mIOU_val(val) = 0.3969	 best_mIOU_per_class(val) = [[np.float64(0.8618850558048342), np.float64(0.645182595212835), np.float64(0.05939005253462509), np.float64(0.0), np.float64(0.12405342228931798), np.float64(0.8677415546639746), np.float64(0.43950051242777005), np.float64(0.7401374290146803), np.float64(0.5207711137658126), np.float64(0.09482571550276074), np.float64(0.012210601591132565)]]	 best_acc(val) = 0.4865	 lr= 0.000606 

Epoch No.: 65	Train Loss = 1.3838	 mIOU(val) = 0.3808	 best_mIOU_val(val) = 0.3969	 best_mIOU_per_class(val) = [[np.float64(0.8618850558048342), np.float64(0.645182595212835), np.float64(0.05939005253462509), np.float64(0.0), np.float64(0.12405342228931798), np.float64(0.8677415546639746), np.float64(0.43950051242777005), np.float64(0.7401374290146803), np.float64(0.5207711137658126), np.float64(0.09482571550276074), np.float64(0.012210601591132565)]]	 best_acc(val) = 0.4865	 lr= 0.000606 

Epoch No.: 66	Train Loss = 1.3879	 mIOU(val) = 0.3868	 best_mIOU_val(val) = 0.3969	 best_mIOU_per_class(val) = [[np.float64(0.8618850558048342), np.float64(0.645182595212835), np.float64(0.05939005253462509), np.float64(0.0), np.float64(0.12405342228931798), np.float64(0.8677415546639746), np.float64(0.43950051242777005), np.float64(0.7401374290146803), np.float64(0.5207711137658126), np.float64(0.09482571550276074), np.float64(0.012210601591132565)]]	 best_acc(val) = 0.4865	 lr= 0.000606 

Epoch No.: 67	Train Loss = 1.3825	 mIOU(val) = 0.4002	 best_mIOU_val(val) = 0.4002	 best_mIOU_per_class(val) = [[np.float64(0.8550272362005378), np.float64(0.6537625122557402), np.float64(0.09030384271671135), np.float64(0.0), np.float64(0.12412395412293513), np.float64(0.8659696260016266), np.float64(0.4538812523166396), np.float64(0.7328909643849003), np.float64(0.5358814990844398), np.float64(0.07707865060841476), np.float64(0.012900363765415668)]]	 best_acc(val) = 0.4865	 lr= 0.000606 

Epoch No.: 68	Train Loss = 1.3796	 mIOU(val) = 0.3841	 best_mIOU_val(val) = 0.4002	 best_mIOU_per_class(val) = [[np.float64(0.8550272362005378), np.float64(0.6537625122557402), np.float64(0.09030384271671135), np.float64(0.0), np.float64(0.12412395412293513), np.float64(0.8659696260016266), np.float64(0.4538812523166396), np.float64(0.7328909643849003), np.float64(0.5358814990844398), np.float64(0.07707865060841476), np.float64(0.012900363765415668)]]	 best_acc(val) = 0.4865	 lr= 0.000606 

Epoch No.: 69	Train Loss = 1.3808	 mIOU(val) = 0.3895	 best_mIOU_val(val) = 0.4002	 best_mIOU_per_class(val) = [[np.float64(0.8550272362005378), np.float64(0.6537625122557402), np.float64(0.09030384271671135), np.float64(0.0), np.float64(0.12412395412293513), np.float64(0.8659696260016266), np.float64(0.4538812523166396), np.float64(0.7328909643849003), np.float64(0.5358814990844398), np.float64(0.07707865060841476), np.float64(0.012900363765415668)]]	 best_acc(val) = 0.4865	 lr= 0.000606 

Epoch No.: 70	Train Loss = 1.3800	 mIOU(val) = 0.3905	 best_mIOU_val(val) = 0.4002	 best_mIOU_per_class(val) = [[np.float64(0.8550272362005378), np.float64(0.6537625122557402), np.float64(0.09030384271671135), np.float64(0.0), np.float64(0.12412395412293513), np.float64(0.8659696260016266), np.float64(0.4538812523166396), np.float64(0.7328909643849003), np.float64(0.5358814990844398), np.float64(0.07707865060841476), np.float64(0.012900363765415668)]]	 best_acc(val) = 0.4865	 lr= 0.000558 

Epoch No.: 71	Train Loss = 1.3782	 mIOU(val) = 0.3997	 best_mIOU_val(val) = 0.4002	 best_mIOU_per_class(val) = [[np.float64(0.8550272362005378), np.float64(0.6537625122557402), np.float64(0.09030384271671135), np.float64(0.0), np.float64(0.12412395412293513), np.float64(0.8659696260016266), np.float64(0.4538812523166396), np.float64(0.7328909643849003), np.float64(0.5358814990844398), np.float64(0.07707865060841476), np.float64(0.012900363765415668)]]	 best_acc(val) = 0.4892	 lr= 0.000558 

Epoch No.: 72	Train Loss = 1.3840	 mIOU(val) = 0.3139	 best_mIOU_val(val) = 0.4002	 best_mIOU_per_class(val) = [[np.float64(0.8550272362005378), np.float64(0.6537625122557402), np.float64(0.09030384271671135), np.float64(0.0), np.float64(0.12412395412293513), np.float64(0.8659696260016266), np.float64(0.4538812523166396), np.float64(0.7328909643849003), np.float64(0.5358814990844398), np.float64(0.07707865060841476), np.float64(0.012900363765415668)]]	 best_acc(val) = 0.4892	 lr= 0.000558 

Epoch No.: 73	Train Loss = 1.3740	 mIOU(val) = 0.3979	 best_mIOU_val(val) = 0.4002	 best_mIOU_per_class(val) = [[np.float64(0.8550272362005378), np.float64(0.6537625122557402), np.float64(0.09030384271671135), np.float64(0.0), np.float64(0.12412395412293513), np.float64(0.8659696260016266), np.float64(0.4538812523166396), np.float64(0.7328909643849003), np.float64(0.5358814990844398), np.float64(0.07707865060841476), np.float64(0.012900363765415668)]]	 best_acc(val) = 0.4892	 lr= 0.000558 

Epoch No.: 74	Train Loss = 1.3779	 mIOU(val) = 0.3918	 best_mIOU_val(val) = 0.4002	 best_mIOU_per_class(val) = [[np.float64(0.8550272362005378), np.float64(0.6537625122557402), np.float64(0.09030384271671135), np.float64(0.0), np.float64(0.12412395412293513), np.float64(0.8659696260016266), np.float64(0.4538812523166396), np.float64(0.7328909643849003), np.float64(0.5358814990844398), np.float64(0.07707865060841476), np.float64(0.012900363765415668)]]	 best_acc(val) = 0.4892	 lr= 0.000558 

Epoch No.: 75	Train Loss = 1.3784	 mIOU(val) = 0.4006	 best_mIOU_val(val) = 0.4006	 best_mIOU_per_class(val) = [[np.float64(0.8661224227584222), np.float64(0.6581067097026398), np.float64(0.12758692792466114), np.float64(0.0), np.float64(0.09418911251293348), np.float64(0.8654283359078976), np.float64(0.42841816478901773), np.float64(0.7357496760580458), np.float64(0.5233819276552856), np.float64(0.10145426856631644), np.float64(0.0065247897319473365)]]	 best_acc(val) = 0.4892	 lr= 0.000558 

Epoch No.: 76	Train Loss = 1.3755	 mIOU(val) = 0.3953	 best_mIOU_val(val) = 0.4006	 best_mIOU_per_class(val) = [[np.float64(0.8661224227584222), np.float64(0.6581067097026398), np.float64(0.12758692792466114), np.float64(0.0), np.float64(0.09418911251293348), np.float64(0.8654283359078976), np.float64(0.42841816478901773), np.float64(0.7357496760580458), np.float64(0.5233819276552856), np.float64(0.10145426856631644), np.float64(0.0065247897319473365)]]	 best_acc(val) = 0.4892	 lr= 0.000558 

Epoch No.: 77	Train Loss = 1.3788	 mIOU(val) = 0.3919	 best_mIOU_val(val) = 0.4006	 best_mIOU_per_class(val) = [[np.float64(0.8661224227584222), np.float64(0.6581067097026398), np.float64(0.12758692792466114), np.float64(0.0), np.float64(0.09418911251293348), np.float64(0.8654283359078976), np.float64(0.42841816478901773), np.float64(0.7357496760580458), np.float64(0.5233819276552856), np.float64(0.10145426856631644), np.float64(0.0065247897319473365)]]	 best_acc(val) = 0.4892	 lr= 0.000558 

Epoch No.: 78	Train Loss = 1.3787	 mIOU(val) = 0.4006	 best_mIOU_val(val) = 0.4006	 best_mIOU_per_class(val) = [[np.float64(0.8661224227584222), np.float64(0.6581067097026398), np.float64(0.12758692792466114), np.float64(0.0), np.float64(0.09418911251293348), np.float64(0.8654283359078976), np.float64(0.42841816478901773), np.float64(0.7357496760580458), np.float64(0.5233819276552856), np.float64(0.10145426856631644), np.float64(0.0065247897319473365)]]	 best_acc(val) = 0.4892	 lr= 0.000558 

Epoch No.: 79	Train Loss = 1.3749	 mIOU(val) = 0.3705	 best_mIOU_val(val) = 0.4006	 best_mIOU_per_class(val) = [[np.float64(0.8661224227584222), np.float64(0.6581067097026398), np.float64(0.12758692792466114), np.float64(0.0), np.float64(0.09418911251293348), np.float64(0.8654283359078976), np.float64(0.42841816478901773), np.float64(0.7357496760580458), np.float64(0.5233819276552856), np.float64(0.10145426856631644), np.float64(0.0065247897319473365)]]	 best_acc(val) = 0.4892	 lr= 0.000558 

Epoch No.: 80	Train Loss = 1.3712	 mIOU(val) = 0.3988	 best_mIOU_val(val) = 0.4006	 best_mIOU_per_class(val) = [[np.float64(0.8661224227584222), np.float64(0.6581067097026398), np.float64(0.12758692792466114), np.float64(0.0), np.float64(0.09418911251293348), np.float64(0.8654283359078976), np.float64(0.42841816478901773), np.float64(0.7357496760580458), np.float64(0.5233819276552856), np.float64(0.10145426856631644), np.float64(0.0065247897319473365)]]	 best_acc(val) = 0.4892	 lr= 0.000513 

Epoch No.: 81	Train Loss = 1.3766	 mIOU(val) = 0.4065	 best_mIOU_val(val) = 0.4065	 best_mIOU_per_class(val) = [[np.float64(0.8655529209586532), np.float64(0.6613216126696797), np.float64(0.09776423616205226), np.float64(0.0), np.float64(0.12130952868432907), np.float64(0.8681867628859157), np.float64(0.47006933034892223), np.float64(0.7454656572156304), np.float64(0.528816839556913), np.float64(0.09040447815095702), np.float64(0.023037003023660796)]]	 best_acc(val) = 0.4892	 lr= 0.000513 

Epoch No.: 82	Train Loss = 1.3730	 mIOU(val) = 0.3738	 best_mIOU_val(val) = 0.4065	 best_mIOU_per_class(val) = [[np.float64(0.8655529209586532), np.float64(0.6613216126696797), np.float64(0.09776423616205226), np.float64(0.0), np.float64(0.12130952868432907), np.float64(0.8681867628859157), np.float64(0.47006933034892223), np.float64(0.7454656572156304), np.float64(0.528816839556913), np.float64(0.09040447815095702), np.float64(0.023037003023660796)]]	 best_acc(val) = 0.4892	 lr= 0.000513 

Epoch No.: 83	Train Loss = 1.3801	 mIOU(val) = 0.3995	 best_mIOU_val(val) = 0.4065	 best_mIOU_per_class(val) = [[np.float64(0.8655529209586532), np.float64(0.6613216126696797), np.float64(0.09776423616205226), np.float64(0.0), np.float64(0.12130952868432907), np.float64(0.8681867628859157), np.float64(0.47006933034892223), np.float64(0.7454656572156304), np.float64(0.528816839556913), np.float64(0.09040447815095702), np.float64(0.023037003023660796)]]	 best_acc(val) = 0.4892	 lr= 0.000513 

Epoch No.: 84	Train Loss = 1.3785	 mIOU(val) = 0.4090	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4892	 lr= 0.000513 

Epoch No.: 85	Train Loss = 1.3806	 mIOU(val) = 0.3982	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4892	 lr= 0.000513 

Epoch No.: 86	Train Loss = 1.3856	 mIOU(val) = 0.3965	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4892	 lr= 0.000513 

Epoch No.: 87	Train Loss = 1.3843	 mIOU(val) = 0.3945	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4892	 lr= 0.000513 

Epoch No.: 88	Train Loss = 1.3793	 mIOU(val) = 0.3895	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4892	 lr= 0.000513 

Epoch No.: 89	Train Loss = 1.3814	 mIOU(val) = 0.4010	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4892	 lr= 0.000513 

Epoch No.: 90	Train Loss = 1.3828	 mIOU(val) = 0.2767	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4892	 lr= 0.000472 

Epoch No.: 91	Train Loss = 1.3840	 mIOU(val) = 0.3992	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4892	 lr= 0.000472 

Epoch No.: 92	Train Loss = 1.3804	 mIOU(val) = 0.4061	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000472 

Epoch No.: 93	Train Loss = 1.3818	 mIOU(val) = 0.3308	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000472 

Epoch No.: 94	Train Loss = 1.3799	 mIOU(val) = 0.3926	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000472 

Epoch No.: 95	Train Loss = 1.3820	 mIOU(val) = 0.3884	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000472 

Epoch No.: 96	Train Loss = 1.3836	 mIOU(val) = 0.2456	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000472 

Epoch No.: 97	Train Loss = 1.3815	 mIOU(val) = 0.3989	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000472 

Epoch No.: 98	Train Loss = 1.3805	 mIOU(val) = 0.4054	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000472 

Epoch No.: 99	Train Loss = 1.3823	 mIOU(val) = 0.3802	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000472 

Epoch No.: 100	Train Loss = 1.3779	 mIOU(val) = 0.3981	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000434 

Epoch No.: 101	Train Loss = 1.3776	 mIOU(val) = 0.3934	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000434 

Epoch No.: 102	Train Loss = 1.3762	 mIOU(val) = 0.3980	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000434 

Epoch No.: 103	Train Loss = 1.3758	 mIOU(val) = 0.3987	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000434 

Epoch No.: 104	Train Loss = 1.3745	 mIOU(val) = 0.4071	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000434 

Epoch No.: 105	Train Loss = 1.3729	 mIOU(val) = 0.3959	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000434 

Epoch No.: 106	Train Loss = 1.3709	 mIOU(val) = 0.4056	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000434 

Epoch No.: 107	Train Loss = 1.3732	 mIOU(val) = 0.3894	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000434 

Epoch No.: 108	Train Loss = 1.3710	 mIOU(val) = 0.3997	 best_mIOU_val(val) = 0.4090	 best_mIOU_per_class(val) = [[np.float64(0.8658827276556833), np.float64(0.66750225088465), np.float64(0.08806302120490885), np.float64(0.0), np.float64(0.12553536116383293), np.float64(0.8650449231133727), np.float64(0.4600287216534428), np.float64(0.7380763300523424), np.float64(0.5187118687550274), np.float64(0.1319802382530958), np.float64(0.038074637756697595)]]	 best_acc(val) = 0.4939	 lr= 0.000434 

