Parameters: 413508 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
Epoch No.: 0	Train Loss = 1.6590	 mIOU(val) = 0.2914	 best_mIOU_val(val) = 0.2914	 best_mIOU_per_class(val) = [[0.6986302016167081, 0.8480652464974974, 0.0, 0.20159837420665963, 0.0, 0.0]]	 best_acc(val) = 0.3574	 lr= 0.001000 
Epoch No.: 87	Train Loss = 1.0832	 mIOU(val) = 0.4609	 best_mIOU_val(val) = 0.4970	 best_mIOU_per_class(val) = [[0.7496427249102919, 0.8695038949642537, 0.006256319514661274, 0.42681077372851617, 0.4897119341563786, 0.4398390454167347]]	 best_acc(val) = 0.6302	 lr= 0.000242 

Epoch No.: 88	Train Loss = 1.0806	 mIOU(val) = 0.4526	 best_mIOU_val(val) = 0.4970	 best_mIOU_per_class(val) = [[0.7496427249102919, 0.8695038949642537, 0.006256319514661274, 0.42681077372851617, 0.4897119341563786, 0.4398390454167347]]	 best_acc(val) = 0.6302	 lr= 0.000242 

Epoch No.: 89	Train Loss = 1.0813	 mIOU(val) = 0.4803	 best_mIOU_val(val) = 0.4970	 best_mIOU_per_class(val) = [[0.7496427249102919, 0.8695038949642537, 0.006256319514661274, 0.42681077372851617, 0.4897119341563786, 0.4398390454167347]]	 best_acc(val) = 0.6302	 lr= 0.000242 

Epoch No.: 90	Train Loss = 1.0826	 mIOU(val) = 0.4699	 best_mIOU_val(val) = 0.4970	 best_mIOU_per_class(val) = [[0.7496427249102919, 0.8695038949642537, 0.006256319514661274, 0.42681077372851617, 0.4897119341563786, 0.4398390454167347]]	 best_acc(val) = 0.6302	 lr= 0.000223 

Epoch No.: 91	Train Loss = 1.0798	 mIOU(val) = 0.4696	 best_mIOU_val(val) = 0.4970	 best_mIOU_per_class(val) = [[0.7496427249102919, 0.8695038949642537, 0.006256319514661274, 0.42681077372851617, 0.4897119341563786, 0.4398390454167347]]	 best_acc(val) = 0.6302	 lr= 0.000223 

Epoch No.: 92	Train Loss = 1.0804	 mIOU(val) = 0.4382	 best_mIOU_val(val) = 0.4970	 best_mIOU_per_class(val) = [[0.7496427249102919, 0.8695038949642537, 0.006256319514661274, 0.42681077372851617, 0.4897119341563786, 0.4398390454167347]]	 best_acc(val) = 0.6465	 lr= 0.000223 

Epoch No.: 93	Train Loss = 1.0794	 mIOU(val) = 0.4553	 best_mIOU_val(val) = 0.4970	 best_mIOU_per_class(val) = [[0.7496427249102919, 0.8695038949642537, 0.006256319514661274, 0.42681077372851617, 0.4897119341563786, 0.4398390454167347]]	 best_acc(val) = 0.6465	 lr= 0.000223 

Epoch No.: 94	Train Loss = 1.0813	 mIOU(val) = 0.5062	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000223 

Epoch No.: 95	Train Loss = 1.0776	 mIOU(val) = 0.4857	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000205 

Epoch No.: 96	Train Loss = 1.0791	 mIOU(val) = 0.4660	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000205 

Epoch No.: 97	Train Loss = 1.0793	 mIOU(val) = 0.4590	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000205 

Epoch No.: 98	Train Loss = 1.0786	 mIOU(val) = 0.4844	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000205 

Epoch No.: 99	Train Loss = 1.0794	 mIOU(val) = 0.4727	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000205 

Epoch No.: 100	Train Loss = 1.0779	 mIOU(val) = 0.4855	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000189 

Epoch No.: 101	Train Loss = 1.0788	 mIOU(val) = 0.4515	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000189 

Epoch No.: 102	Train Loss = 1.0785	 mIOU(val) = 0.4749	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000189 

Epoch No.: 103	Train Loss = 1.0769	 mIOU(val) = 0.4425	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000189 

Epoch No.: 104	Train Loss = 1.0809	 mIOU(val) = 0.4604	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000189 

Epoch No.: 105	Train Loss = 1.0781	 mIOU(val) = 0.4409	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000174 

Epoch No.: 106	Train Loss = 1.0803	 mIOU(val) = 0.4710	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000174 

Epoch No.: 107	Train Loss = 1.0789	 mIOU(val) = 0.4766	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000174 

Epoch No.: 108	Train Loss = 1.0817	 mIOU(val) = 0.4708	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000174 

Epoch No.: 109	Train Loss = 1.0817	 mIOU(val) = 0.4711	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000174 

Epoch No.: 110	Train Loss = 1.0809	 mIOU(val) = 0.4889	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000160 

Epoch No.: 111	Train Loss = 1.0834	 mIOU(val) = 0.4733	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000160 

Epoch No.: 112	Train Loss = 1.0812	 mIOU(val) = 0.4701	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000160 

Epoch No.: 113	Train Loss = 1.0818	 mIOU(val) = 0.4875	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000160 

Epoch No.: 114	Train Loss = 1.0842	 mIOU(val) = 0.4833	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000160 

Epoch No.: 115	Train Loss = 1.0847	 mIOU(val) = 0.4757	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000147 

Epoch No.: 116	Train Loss = 1.0857	 mIOU(val) = 0.4569	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000147 

Epoch No.: 117	Train Loss = 1.0839	 mIOU(val) = 0.4648	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000147 

Epoch No.: 118	Train Loss = 1.0831	 mIOU(val) = 0.4687	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000147 

Epoch No.: 119	Train Loss = 1.0852	 mIOU(val) = 0.4377	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000147 

Epoch No.: 120	Train Loss = 1.0829	 mIOU(val) = 0.4529	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000135 

Epoch No.: 121	Train Loss = 1.0833	 mIOU(val) = 0.4889	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000135 

Epoch No.: 122	Train Loss = 1.0803	 mIOU(val) = 0.4741	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000135 

Epoch No.: 123	Train Loss = 1.0815	 mIOU(val) = 0.4399	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000135 

Epoch No.: 124	Train Loss = 1.0802	 mIOU(val) = 0.4783	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000135 

Epoch No.: 125	Train Loss = 1.0809	 mIOU(val) = 0.4341	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000124 

Epoch No.: 126	Train Loss = 1.0811	 mIOU(val) = 0.4613	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000124 

Epoch No.: 127	Train Loss = 1.0804	 mIOU(val) = 0.4662	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000124 

Epoch No.: 128	Train Loss = 1.0806	 mIOU(val) = 0.4570	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000124 

Epoch No.: 129	Train Loss = 1.0802	 mIOU(val) = 0.4454	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000124 

Epoch No.: 130	Train Loss = 1.0798	 mIOU(val) = 0.4653	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000114 

Epoch No.: 131	Train Loss = 1.0814	 mIOU(val) = 0.4392	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000114 

Epoch No.: 132	Train Loss = 1.0796	 mIOU(val) = 0.4616	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000114 

Epoch No.: 133	Train Loss = 1.0793	 mIOU(val) = 0.4437	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000114 

Epoch No.: 134	Train Loss = 1.0799	 mIOU(val) = 0.4656	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000114 

Epoch No.: 135	Train Loss = 1.0792	 mIOU(val) = 0.4531	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000105 

Epoch No.: 136	Train Loss = 1.0786	 mIOU(val) = 0.4696	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000105 

Epoch No.: 137	Train Loss = 1.0790	 mIOU(val) = 0.4537	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000105 

Epoch No.: 138	Train Loss = 1.0787	 mIOU(val) = 0.4850	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000105 

Epoch No.: 139	Train Loss = 1.0786	 mIOU(val) = 0.4462	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000105 

Epoch No.: 140	Train Loss = 1.0804	 mIOU(val) = 0.4573	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000097 

Epoch No.: 141	Train Loss = 1.0797	 mIOU(val) = 0.4760	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000097 

Epoch No.: 142	Train Loss = 1.0783	 mIOU(val) = 0.4435	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000097 

Epoch No.: 143	Train Loss = 1.0806	 mIOU(val) = 0.4661	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000097 

Epoch No.: 144	Train Loss = 1.0810	 mIOU(val) = 0.4609	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000097 

Epoch No.: 145	Train Loss = 1.0817	 mIOU(val) = 0.4726	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000089 

Epoch No.: 146	Train Loss = 1.0819	 mIOU(val) = 0.4569	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000089 

Epoch No.: 147	Train Loss = 1.0806	 mIOU(val) = 0.4719	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000089 

Epoch No.: 148	Train Loss = 1.0824	 mIOU(val) = 0.4640	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000089 

Epoch No.: 149	Train Loss = 1.0827	 mIOU(val) = 0.4578	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000089 

Epoch No.: 150	Train Loss = 1.0813	 mIOU(val) = 0.4360	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000082 

Epoch No.: 151	Train Loss = 1.0814	 mIOU(val) = 0.4458	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000082 

Epoch No.: 152	Train Loss = 1.0804	 mIOU(val) = 0.4267	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000082 

Epoch No.: 153	Train Loss = 1.0800	 mIOU(val) = 0.4435	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000082 

Epoch No.: 154	Train Loss = 1.0823	 mIOU(val) = 0.4509	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000082 

Epoch No.: 155	Train Loss = 1.0796	 mIOU(val) = 0.4379	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000075 

Epoch No.: 156	Train Loss = 1.0803	 mIOU(val) = 0.4466	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000075 

Epoch No.: 157	Train Loss = 1.0794	 mIOU(val) = 0.4683	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000075 

Epoch No.: 158	Train Loss = 1.0786	 mIOU(val) = 0.4682	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000075 

Epoch No.: 159	Train Loss = 1.0794	 mIOU(val) = 0.4465	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000075 

Epoch No.: 160	Train Loss = 1.0790	 mIOU(val) = 0.4643	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000069 

Epoch No.: 161	Train Loss = 1.0798	 mIOU(val) = 0.4507	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000069 

Epoch No.: 162	Train Loss = 1.0794	 mIOU(val) = 0.4623	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000069 

Epoch No.: 163	Train Loss = 1.0787	 mIOU(val) = 0.4682	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000069 

Epoch No.: 164	Train Loss = 1.0792	 mIOU(val) = 0.4496	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000069 

Epoch No.: 165	Train Loss = 1.0803	 mIOU(val) = 0.4783	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000064 

Epoch No.: 166	Train Loss = 1.0799	 mIOU(val) = 0.4829	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000064 

Epoch No.: 167	Train Loss = 1.0790	 mIOU(val) = 0.4693	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000064 

Epoch No.: 168	Train Loss = 1.0785	 mIOU(val) = 0.4464	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000064 

Epoch No.: 169	Train Loss = 1.0811	 mIOU(val) = 0.4671	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000064 

Epoch No.: 170	Train Loss = 1.0773	 mIOU(val) = 0.4632	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000059 

Epoch No.: 171	Train Loss = 1.0792	 mIOU(val) = 0.4714	 best_mIOU_val(val) = 0.5062	 best_mIOU_per_class(val) = [[0.7579984988566058, 0.8731088096609597, 0.00781448538754765, 0.41070763357075046, 0.5203132648066568, 0.46699445630668573]]	 best_acc(val) = 0.6465	 lr= 0.000059 

