Parameters: 405492 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
Epoch No.: 0	Train Loss = 2.3669	 mIOU(val) = 0.0672	 best_mIOU_val(val) = 0.0672	 best_mIOU_per_class(val) = [[0.0001742123545814423, 0.0007093032459653094, 0.0, 0.0, 0.0, 0.47749144571499624, 0.0, 0.26114283586366793, 0.0, 0.0, 0.0]]	 best_acc(val) = 0.1361	 lr= 0.001000 
Epoch No.: 68	Train Loss = 1.3822	 mIOU(val) = 0.3933	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000606 

Epoch No.: 69	Train Loss = 1.3813	 mIOU(val) = 0.4063	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000606 

Epoch No.: 70	Train Loss = 1.3792	 mIOU(val) = 0.4058	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000558 

Epoch No.: 71	Train Loss = 1.3729	 mIOU(val) = 0.3832	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000558 

Epoch No.: 72	Train Loss = 1.3820	 mIOU(val) = 0.3975	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000558 

Epoch No.: 73	Train Loss = 1.3744	 mIOU(val) = 0.4090	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000558 

Epoch No.: 74	Train Loss = 1.3741	 mIOU(val) = 0.4017	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000558 

Epoch No.: 75	Train Loss = 1.3776	 mIOU(val) = 0.4050	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000558 

Epoch No.: 76	Train Loss = 1.3730	 mIOU(val) = 0.3994	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000558 

Epoch No.: 77	Train Loss = 1.3762	 mIOU(val) = 0.3852	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000558 

Epoch No.: 78	Train Loss = 1.3760	 mIOU(val) = 0.3944	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000558 

Epoch No.: 79	Train Loss = 1.3726	 mIOU(val) = 0.3501	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000558 

Epoch No.: 80	Train Loss = 1.3685	 mIOU(val) = 0.4054	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000513 

Epoch No.: 81	Train Loss = 1.3696	 mIOU(val) = 0.4079	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000513 

Epoch No.: 82	Train Loss = 1.3796	 mIOU(val) = 0.4046	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000513 

Epoch No.: 83	Train Loss = 1.3655	 mIOU(val) = 0.4067	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000513 

Epoch No.: 84	Train Loss = 1.3733	 mIOU(val) = 0.4071	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000513 

Epoch No.: 85	Train Loss = 1.3689	 mIOU(val) = 0.4135	 best_mIOU_val(val) = 0.4135	 best_mIOU_per_class(val) = [[0.8876332195050415, 0.6864655983095613, 0.07958758210413377, 0.0, 0.08631454100840225, 0.8807623311723425, 0.49810412046893543, 0.7656582489067917, 0.5819238179032479, 0.06861059330205052, 0.013547870609038365]]	 best_acc(val) = 0.4958	 lr= 0.000513 

Epoch No.: 86	Train Loss = 1.3704	 mIOU(val) = 0.4124	 best_mIOU_val(val) = 0.4135	 best_mIOU_per_class(val) = [[0.8876332195050415, 0.6864655983095613, 0.07958758210413377, 0.0, 0.08631454100840225, 0.8807623311723425, 0.49810412046893543, 0.7656582489067917, 0.5819238179032479, 0.06861059330205052, 0.013547870609038365]]	 best_acc(val) = 0.4958	 lr= 0.000513 

Epoch No.: 87	Train Loss = 1.3706	 mIOU(val) = 0.4108	 best_mIOU_val(val) = 0.4135	 best_mIOU_per_class(val) = [[0.8876332195050415, 0.6864655983095613, 0.07958758210413377, 0.0, 0.08631454100840225, 0.8807623311723425, 0.49810412046893543, 0.7656582489067917, 0.5819238179032479, 0.06861059330205052, 0.013547870609038365]]	 best_acc(val) = 0.4958	 lr= 0.000513 

Epoch No.: 88	Train Loss = 1.3657	 mIOU(val) = 0.4054	 best_mIOU_val(val) = 0.4135	 best_mIOU_per_class(val) = [[0.8876332195050415, 0.6864655983095613, 0.07958758210413377, 0.0, 0.08631454100840225, 0.8807623311723425, 0.49810412046893543, 0.7656582489067917, 0.5819238179032479, 0.06861059330205052, 0.013547870609038365]]	 best_acc(val) = 0.4958	 lr= 0.000513 

Epoch No.: 89	Train Loss = 1.3701	 mIOU(val) = 0.3987	 best_mIOU_val(val) = 0.4135	 best_mIOU_per_class(val) = [[0.8876332195050415, 0.6864655983095613, 0.07958758210413377, 0.0, 0.08631454100840225, 0.8807623311723425, 0.49810412046893543, 0.7656582489067917, 0.5819238179032479, 0.06861059330205052, 0.013547870609038365]]	 best_acc(val) = 0.4958	 lr= 0.000513 

Epoch No.: 90	Train Loss = 1.3655	 mIOU(val) = 0.3976	 best_mIOU_val(val) = 0.4135	 best_mIOU_per_class(val) = [[0.8876332195050415, 0.6864655983095613, 0.07958758210413377, 0.0, 0.08631454100840225, 0.8807623311723425, 0.49810412046893543, 0.7656582489067917, 0.5819238179032479, 0.06861059330205052, 0.013547870609038365]]	 best_acc(val) = 0.4958	 lr= 0.000472 

Epoch No.: 91	Train Loss = 1.3656	 mIOU(val) = 0.4049	 best_mIOU_val(val) = 0.4135	 best_mIOU_per_class(val) = [[0.8876332195050415, 0.6864655983095613, 0.07958758210413377, 0.0, 0.08631454100840225, 0.8807623311723425, 0.49810412046893543, 0.7656582489067917, 0.5819238179032479, 0.06861059330205052, 0.013547870609038365]]	 best_acc(val) = 0.4958	 lr= 0.000472 

Epoch No.: 92	Train Loss = 1.3673	 mIOU(val) = 0.4035	 best_mIOU_val(val) = 0.4135	 best_mIOU_per_class(val) = [[0.8876332195050415, 0.6864655983095613, 0.07958758210413377, 0.0, 0.08631454100840225, 0.8807623311723425, 0.49810412046893543, 0.7656582489067917, 0.5819238179032479, 0.06861059330205052, 0.013547870609038365]]	 best_acc(val) = 0.4958	 lr= 0.000472 

Epoch No.: 93	Train Loss = 1.3673	 mIOU(val) = 0.3868	 best_mIOU_val(val) = 0.4135	 best_mIOU_per_class(val) = [[0.8876332195050415, 0.6864655983095613, 0.07958758210413377, 0.0, 0.08631454100840225, 0.8807623311723425, 0.49810412046893543, 0.7656582489067917, 0.5819238179032479, 0.06861059330205052, 0.013547870609038365]]	 best_acc(val) = 0.4958	 lr= 0.000472 

Epoch No.: 94	Train Loss = 1.3635	 mIOU(val) = 0.3950	 best_mIOU_val(val) = 0.4135	 best_mIOU_per_class(val) = [[0.8876332195050415, 0.6864655983095613, 0.07958758210413377, 0.0, 0.08631454100840225, 0.8807623311723425, 0.49810412046893543, 0.7656582489067917, 0.5819238179032479, 0.06861059330205052, 0.013547870609038365]]	 best_acc(val) = 0.4958	 lr= 0.000472 

Epoch No.: 95	Train Loss = 1.3696	 mIOU(val) = 0.4032	 best_mIOU_val(val) = 0.4135	 best_mIOU_per_class(val) = [[0.8876332195050415, 0.6864655983095613, 0.07958758210413377, 0.0, 0.08631454100840225, 0.8807623311723425, 0.49810412046893543, 0.7656582489067917, 0.5819238179032479, 0.06861059330205052, 0.013547870609038365]]	 best_acc(val) = 0.4958	 lr= 0.000472 

Epoch No.: 96	Train Loss = 1.3630	 mIOU(val) = 0.4156	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000472 

Epoch No.: 97	Train Loss = 1.3683	 mIOU(val) = 0.3841	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000472 

Epoch No.: 98	Train Loss = 1.3614	 mIOU(val) = 0.4114	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000472 

Epoch No.: 99	Train Loss = 1.3662	 mIOU(val) = 0.4061	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000472 

Epoch No.: 100	Train Loss = 1.3643	 mIOU(val) = 0.4102	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000434 

Epoch No.: 101	Train Loss = 1.3679	 mIOU(val) = 0.4038	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000434 

Epoch No.: 102	Train Loss = 1.3606	 mIOU(val) = 0.4058	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000434 

Epoch No.: 103	Train Loss = 1.3609	 mIOU(val) = 0.4038	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000434 

Epoch No.: 104	Train Loss = 1.3659	 mIOU(val) = 0.4079	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000434 

Epoch No.: 105	Train Loss = 1.3653	 mIOU(val) = 0.4068	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000434 

Epoch No.: 106	Train Loss = 1.3633	 mIOU(val) = 0.4111	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000434 

Epoch No.: 107	Train Loss = 1.3619	 mIOU(val) = 0.4047	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000434 

Epoch No.: 108	Train Loss = 1.3737	 mIOU(val) = 0.3936	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000434 

Epoch No.: 109	Train Loss = 1.3645	 mIOU(val) = 0.2514	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000434 

Epoch No.: 110	Train Loss = 1.3641	 mIOU(val) = 0.4131	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000400 

Epoch No.: 111	Train Loss = 1.3619	 mIOU(val) = 0.4152	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000400 

Epoch No.: 112	Train Loss = 1.3605	 mIOU(val) = 0.4013	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000400 

Epoch No.: 113	Train Loss = 1.3607	 mIOU(val) = 0.4045	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000400 

Epoch No.: 114	Train Loss = 1.3636	 mIOU(val) = 0.4064	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000400 

Epoch No.: 115	Train Loss = 1.3667	 mIOU(val) = 0.4153	 best_mIOU_val(val) = 0.4156	 best_mIOU_per_class(val) = [[0.8845535181987284, 0.6784893629913198, 0.0950431641495555, 0.0, 0.08051517857473683, 0.889353898967879, 0.49532098518607975, 0.7647925038567606, 0.5800121094351213, 0.09561818612328377, 0.00829664747714189]]	 best_acc(val) = 0.4958	 lr= 0.000400 

Epoch No.: 116	Train Loss = 1.3638	 mIOU(val) = 0.4161	 best_mIOU_val(val) = 0.4161	 best_mIOU_per_class(val) = [[0.887458819964811, 0.6707247679770855, 0.084658462195211, 0.0, 0.09760478206585803, 0.8827299060562678, 0.4982420121352205, 0.761390305317276, 0.5729077169107272, 0.09726524152024522, 0.024102654555075403]]	 best_acc(val) = 0.4958	 lr= 0.000400 

Epoch No.: 117	Train Loss = 1.3585	 mIOU(val) = 0.4199	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000400 

Epoch No.: 118	Train Loss = 1.3626	 mIOU(val) = 0.4081	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000400 

Epoch No.: 119	Train Loss = 1.3608	 mIOU(val) = 0.4078	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000400 

Epoch No.: 120	Train Loss = 1.3584	 mIOU(val) = 0.4167	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000368 

Epoch No.: 121	Train Loss = 1.3598	 mIOU(val) = 0.4092	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000368 

Epoch No.: 122	Train Loss = 1.3583	 mIOU(val) = 0.4059	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000368 

Epoch No.: 123	Train Loss = 1.3553	 mIOU(val) = 0.4161	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000368 

Epoch No.: 124	Train Loss = 1.3585	 mIOU(val) = 0.4177	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000368 

Epoch No.: 125	Train Loss = 1.3624	 mIOU(val) = 0.4111	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000368 

Epoch No.: 126	Train Loss = 1.3606	 mIOU(val) = 0.4019	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000368 

Epoch No.: 127	Train Loss = 1.3605	 mIOU(val) = 0.4099	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000368 

Epoch No.: 128	Train Loss = 1.3694	 mIOU(val) = 0.4064	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000368 

Epoch No.: 129	Train Loss = 1.3554	 mIOU(val) = 0.4136	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000368 

Epoch No.: 130	Train Loss = 1.3537	 mIOU(val) = 0.4159	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000338 

Epoch No.: 131	Train Loss = 1.3548	 mIOU(val) = 0.3978	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000338 

Epoch No.: 132	Train Loss = 1.3565	 mIOU(val) = 0.4134	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000338 

Epoch No.: 133	Train Loss = 1.3567	 mIOU(val) = 0.4171	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000338 

Epoch No.: 134	Train Loss = 1.3691	 mIOU(val) = 0.4114	 best_mIOU_val(val) = 0.4199	 best_mIOU_per_class(val) = [[0.8802245687009853, 0.6841663916325412, 0.06708362998410854, 0.0, 0.11454585105222985, 0.8757866416999697, 0.5030222041374973, 0.7753786776218476, 0.5817761620894325, 0.11820040604295963, 0.01856433456447594]]	 best_acc(val) = 0.4987	 lr= 0.000338 

